genome,species,genus,phylum
GCF_000005845.2_ASM584v2_genomic,Escherichia coli,Escherichia,Pseudomonadota
GCF_000006685.1_ASM668v1_genomic,Chlamydia muridarum,Chlamydia,Chlamydiota
GCF_000006765.1_ASM676v1_genomic,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadota
GCF_000006925.2_ASM692v2_genomic,Shigella flexneri,Shigella,Pseudomonadota
GCF_000006945.2_ASM694v2_genomic,Salmonella enterica,Salmonella,Pseudomonadota
GCF_000006985.1_ASM698v1_genomic,Chlorobaculum tepidum,Chlorobaculum,Unknown
GCF_000007025.1_ASM702v1_genomic,Rickettsia conorii,Rickettsia,Pseudomonadota
GCF_000007085.1_ASM708v1_genomic,Caldanaerobacter subterraneus,Caldanaerobacter,Unknown
GCF_000007125.1_ASM712v1_genomic,Brucella melitensis,Brucella,Pseudomonadota
GCF_000007205.1_ASM720v1_genomic,Chlamydia pneumoniae,Chlamydia,Chlamydiota
GCF_000007365.1_ASM736v1_genomic,Buchnera aphidicola,Buchnera,Unknown
GCF_000007505.1_ASM750v1_genomic,Brucella suis,Brucella,Pseudomonadota
GCF_000007605.1_ASM760v1_genomic,Chlamydia caviae,Chlamydia,Chlamydiota
GCF_000007625.1_ASM762v1_genomic,Clostridium tetani,Clostridium,Bacillota
GCF_000007705.1_ASM770v1_genomic,Chromobacterium violaceum,Chromobacterium,Unknown
GCF_000007745.1_ASM774v1_genomic,[Mannheimia] succiniciproducens,[Mannheimia],Unknown
GCF_000007765.2_ASM776v2_genomic,Coxiella burnetii,Coxiella,Unknown
GCF_000007805.1_ASM780v1_genomic,Pseudomonas syringae,Pseudomonas,Pseudomonadota
GCF_000007905.1_ASM790v1_genomic,Helicobacter hepaticus,Helicobacter,Pseudomonadota
GCF_000007985.2_ASM798v2_genomic,Geobacter sulfurreducens,Geobacter,Unknown
GCF_000008045.1_ASM804v1_genomic,Rickettsia typhi,Rickettsia,Pseudomonadota
GCF_000008185.1_ASM818v1_genomic,Treponema denticola,Treponema,Spirochaetota
